textA,textB,label
"C’est quoi un Stream en Java ?","Définir Stream en Java.",1
"À quoi sert Stream API ?","Quel est le rôle de Stream API en Java ?",1
"Quelle est la différence entre map() et flatMap() ?","Expliquer la différence entre map et flatMap en Java.",1
"Définir une exception en Java.","C’est quoi une exception en Java ?",1
"Quelle est la différence entre checked et unchecked exception ?","Comparer checked exception et unchecked exception.",1
"Qu’est-ce qu’une clé primaire ?","Définir la clé primaire en base de données.",1
"Définir une clé étrangère.","C’est quoi une foreign key ?",1
"Différence entre INNER JOIN et LEFT JOIN ?","Comparer LEFT JOIN et INNER JOIN en SQL.",1
"À quoi sert GROUP BY ?","Quel est le rôle de GROUP BY en SQL ?",1
"Définir une transaction SQL.","C’est quoi une transaction en base de données ?",1
"C’est quoi ORM ?","Définir ORM en Symfony/Doctrine.",1
"Définir ManyToOne en Doctrine.","C’est quoi une relation ManyToOne ?",1
"Définir OneToMany en Doctrine.","Qu’est-ce qu’une relation OneToMany ?",1
"À quoi sert le fichier .env dans Symfony ?","Quel est le rôle du fichier .env en Symfony ?",1
"Quelle est la différence entre GET et POST ?","Comparer les méthodes HTTP GET et POST.",1
"Qu’est-ce qu’un contrôleur Symfony ?","Définir Controller dans Symfony.",1
"À quoi sert une migration Doctrine ?","Quel est le but des migrations Doctrine ?",1
"Qu’est-ce qu’un Repository Doctrine ?","Définir Repository en Doctrine.",1
"Définir une route en Symfony.","C’est quoi une route (routing) en Symfony ?",1
"Qu’est-ce que MVC ?","Définir l’architecture MVC.",1
"C’est quoi un Stream en Java ?","Qu’est-ce qu’une clé primaire ?",0
"Définir Stream en Java.","Différence INNER JOIN et LEFT JOIN ?",0
"map() et flatMap() : différence ?","À quoi sert GROUP BY ?",0
"Définir une exception en Java.","Définir une transaction SQL.",0
"checked vs unchecked exception ?","Qu’est-ce qu’un contrôleur Symfony ?",0
"Définir une clé primaire.","Définir une clé étrangère.",0
"INNER JOIN vs LEFT JOIN ?","Définir une clé primaire.",0
"À quoi sert GROUP BY ?","À quoi sert ORDER BY ?",0
"Définir une transaction SQL.","C’est quoi une indexation en base de données ?",0
